"ExternalId","Status","LeadId","LeadStatus","LeadCreatedDate","Days Elapsed","OpportunityId","OpportunityStage","ConsultationDate","SolarworksStatus","SolarworksSubStatus","ContractSignedDate","InstallationDate","LastModified"
"production.powur.com:157","working_lead","00Q1400001PluBPEAZ","Called 3x","2015-05-13 20:44:33.000","3",,,,,,,,"2015-05-16 23:52:17.000"
"production.powur.com:161","working_lead","00Q1400001PluByEAJ","Called 3x","2015-05-13 20:44:48.000","3",,,,,,,,"2015-05-16 23:52:17.000"
"production.powur.com:154","working_lead","00Q1400001PluAbEAJ","Called 2x","2015-05-13 20:44:12.000","3",,,,,,,,"2015-05-16 22:40:41.000"
"production.powur.com:167","working_lead","00Q1400001PluCmEAJ","Called 2x","2015-05-13 20:45:12.000","3",,,,,,,,"2015-05-16 22:24:28.000"
"production.powur.com:169","working_lead","00Q1400001PluDLEAZ","Called 3x","2015-05-13 20:45:20.000","3",,,,,,,,"2015-05-16 21:46:30.000"
"production.powur.com:133","working_lead","00Q1400001PkLF5EAN","Called 3x","2015-05-11 21:36:49.000","5",,,,,,,,"2015-05-16 21:41:30.000"
"production.powur.com:124","working_lead","00Q1400001PkLPAEA3","Called 3x","2015-05-11 21:38:14.000","5",,,,,,,,"2015-05-16 21:41:30.000"
"production.powur.com:123","working_lead","00Q1400001PkLNOEA3","Called 3x","2015-05-11 21:38:10.000","5",,,,,,,,"2015-05-16 21:40:48.000"
"production.powur.com:140","working_lead","00Q1400001PkNMTEA3","Called 3x","2015-05-11 22:00:19.000","5",,,,,,,,"2015-05-16 21:40:07.000"
"production.powur.com:125","working_lead","00Q1400001PkNJjEAN","Called 3x","2015-05-11 22:00:02.000","5",,,,,,,,"2015-05-16 21:40:07.000"
"production.powur.com:158","working_lead","00Q1400001PluBeEAJ","Called 2x","2015-05-13 20:44:37.000","3",,,,,,,,"2015-05-16 20:11:28.000"
"production.powur.com:164","working_lead","00Q1400001PluCNEAZ","Called 2x","2015-05-13 20:45:00.000","3",,,,,,,,"2015-05-16 20:11:28.000"
"production.powur.com:110","working_lead","00Q1400001PkLKtEAN","Called 3x","2015-05-11 21:37:41.000","5",,,,,,,,"2015-05-15 23:17:17.000"
"production.powur.com:127","working_lead","00Q1400001PkLCfEAN","Called 3x","2015-05-11 21:36:27.000","5",,,,,,,,"2015-05-15 23:17:17.000"
"production.powur.com:136","working_lead","00Q1400001PkLHaEAN","Called 3x","2015-05-11 21:37:10.000","5",,,,,,,,"2015-05-15 21:46:25.000"
"production.powur.com:151","working_lead","00Q1400001PkLFoEAN","Called 3x","2015-05-11 21:37:02.000","5",,,,,,,,"2015-05-15 21:44:44.000"
"production.powur.com:141","working_lead","00Q1400001PkNMYEA3","Called 3x","2015-05-11 22:00:23.000","5",,,,,,,,"2015-05-15 21:43:38.000"
"production.powur.com:163","working_opportunity","00Q1400001PluCDEAZ","Qualified","2015-05-13 20:44:56.000","3","0061400001CU0NmAAL","Consultation Scheduled","2015-05-14 19:36:00.000",,,,,"2015-05-15 21:08:59.000"
"production.powur.com:171","working_lead","00Q1400001PluDaEAJ","Called 3x","2015-05-13 20:45:28.000","3",,,,,,,,"2015-05-15 20:46:21.000"
"production.powur.com:126","working_lead","00Q1400001PkNK3EAN","Contacted","2015-05-11 22:00:05.000","5",,,,,,,,"2015-05-15 20:33:07.000"
"production.powur.com:137","working_lead","00Q1400001PkLHkEAN","Called 3x","2015-05-11 21:37:13.000","5",,,,,,,,"2015-05-15 20:28:00.000"
"production.powur.com:105","contract_signed","00Q1400001PVx5qEAD","Qualified","2015-04-29 14:02:12.000","12","0061400001CBa3VAAT","Closed Won","2015-05-04 16:21:00.000","Permit","Site Survey Scheduled","2015-05-11 19:00:42.413",,"2015-05-15 19:46:20.157"
"production.powur.com:101","contract_signed","00Q1400001PVx5HEAT","Qualified","2015-04-29 14:01:58.000","13","0061400001CAxkwAAD","Closed Won","2015-04-29 14:50:00.000","Permit","Site Survey Scheduled","2015-05-12 08:56:54.183",,"2015-05-15 19:46:20.157"
"production.powur.com:155","contract_signed","00Q1400001PluAlEAJ","Qualified","2015-05-13 20:44:16.000","1","0061400001CU0UxAAL","Closed Won","2015-05-14 19:38:00.000","Permit","Site Survey Scheduled","2015-05-14 13:30:14.847",,"2015-05-15 19:46:20.157"
"production.powur.com:107","working_lead","00Q1400001PkLEvEAN","Called 4x","2015-05-11 21:36:41.000","5",,,,,,,,"2015-05-15 18:55:27.000"
"production.powur.com:170","working_lead","00Q1400001PluDVEAZ","Called 3x","2015-05-13 20:45:24.000","3",,,,,,,,"2015-05-15 16:01:05.000"
"production.powur.com:129","proposal_presented","00Q1400001PkLD4EAN","Qualified","2015-05-11 21:36:34.000","5","0061400001CTPOfAAP","Proposal Presented","2015-05-13 19:00:00.000",,,,,"2015-05-15 00:13:13.000"
"production.powur.com:156","working_lead","00Q1400001PluBFEAZ","Contacted","2015-05-13 20:44:29.000","3",,,,,,,,"2015-05-14 23:59:21.000"
"production.powur.com:165","working_opportunity","00Q1400001PluCSEAZ","Qualified","2015-05-13 20:45:04.000","3","0061400001CThoeAAD","Consultation Scheduled","2015-05-22 21:00:00.000",,,,,"2015-05-14 23:44:09.000"
"production.powur.com:152","working_opportunity","00Q1400001PluAvEAJ","Qualified","2015-05-13 20:44:21.000","3","0061400001CU8SAAA1","Consultation Scheduled","2015-05-14 22:31:00.000",,,,,"2015-05-14 23:26:02.000"
"production.powur.com:166","working_lead","00Q1400001PluCXEAZ","Out of Driving range","2015-05-13 20:45:08.000","3",,,,,,,,"2015-05-14 22:55:21.000"
"production.powur.com:111","working_lead","00Q1400001PkLKyEAN","Called 3x","2015-05-11 21:37:45.000","5",,,,,,,,"2015-05-14 22:32:08.000"
"production.powur.com:168","out_of_service_area","00Q1400001PluDBEAZ","Out of State","2015-05-13 20:45:16.000","3",,,,,,,,"2015-05-14 20:41:20.000"
"production.powur.com:153","working_lead","00Q1400001PluB5EAJ","Contacted","2015-05-13 20:44:25.000","3",,,,,,,,"2015-05-14 20:16:59.000"
"production.powur.com:159","working_lead","00Q1400001PluBoEAJ","Out of Driving range","2015-05-13 20:44:41.000","3",,,,,,,,"2015-05-14 19:35:40.000"
"production.powur.com:146","working_lead","00Q1400001PkNOjEAN","Called 3x","2015-05-11 22:00:39.000","5",,,,,,,,"2015-05-14 18:52:28.000"
"production.powur.com:103","initial_consult_completed","00Q1400001PVx5bEAD","Qualified","2015-04-29 14:02:05.000","17","0061400001CAxbaAAD","Legacy In Process","2015-05-06 16:00:00.000",,,,,"2015-05-14 17:33:42.000"
"production.powur.com:145","working_opportunity","00Q1400001PkLI9EAN","Qualified","2015-05-11 21:37:24.000","5","0061400001CTXgAAAX","Consultation Scheduled","2015-05-12 23:22:00.000",,,,,"2015-05-14 15:14:51.000"
"production.powur.com:138","working_opportunity","00Q1400001PkLHuEAN","Qualified","2015-05-11 21:37:17.000","5","0061400001CTTRTAA5","Consultation Scheduled","2015-05-13 03:00:00.000",,,,,"2015-05-13 23:48:35.000"
"production.powur.com:120","initial_consult_completed","00Q1400001PkGAnEAN","Qualified","2015-05-11 20:59:13.000","5","0061400001CCY9GAAX","Opp Identified / Gathering Info","2015-05-12 01:12:00.000",,,,,"2015-05-13 22:48:01.000"
"production.powur.com:147","working_opportunity","00Q1400001PkNMxEAN","Qualified","2015-05-11 22:00:33.000","5","0061400001CTQgBAAX","Consultation Scheduled","2015-05-12 17:49:00.000",,,,,"2015-05-13 22:42:34.000"
"production.powur.com:134","working_opportunity","00Q1400001PkNKXEA3","Qualified","2015-05-11 22:00:09.000","5","0061400001CTTOjAAP","Consultation Scheduled","2015-05-12 20:04:00.000",,,,,"2015-05-13 22:11:05.000"
"production.powur.com:102","initial_consult_completed","00Q1400001PVx5WEAT","Qualified","2015-04-29 14:02:01.000","17","0061400001CB2L0AAL","Contract Out","2015-05-06 17:00:00.000",,,,,"2015-05-13 21:46:10.000"
"production.powur.com:160","working_opportunity","00Q1400001PluBtEAJ","Qualified","2015-05-13 20:44:44.000","3","0061400001CTheZAAT","Consultation Scheduled","2015-05-22 02:00:00.000",,,,,"2015-05-13 21:40:20.000"
"production.powur.com:162","out_of_service_area","00Q1400001PluC3EAJ","Out of State","2015-05-13 20:44:52.000","3",,,,,,,,"2015-05-13 20:44:54.000"
"production.powur.com:104","working_opportunity","00Q1400001PVx5lEAD","Qualified","2015-04-29 14:02:09.000","17","0061400001CTea3AAD","Consultation Scheduled","2015-05-13 16:47:00.000",,,,,"2015-05-13 17:52:05.000"
"production.powur.com:108","working_opportunity","00Q1400001PkLKAEA3","Qualified","2015-05-11 21:37:34.000","5","0061400001CTdgoAAD","Consultation Scheduled","2015-06-02 16:00:00.000",,,,,"2015-05-13 15:12:44.000"
"production.powur.com:149","working_lead","00Q1400001PkLFUEA3","Contacted","2015-05-11 21:36:56.000","5",,,,,,,,"2015-05-13 01:31:53.000"
"production.powur.com:114","working_opportunity","00Q1400001PkLJvEAN","Qualified","2015-05-11 21:37:27.000","5","0061400001CTWTKAA5","Consultation Scheduled","2015-05-12 22:25:00.000",,,,,"2015-05-12 22:39:42.000"
